46281,Assassin's Krait Machete
46040,Assassin's Krait Star
46186,Assassin's Krait Shooter
45731,Assassin's Masquerade Leggings
45765,Assassin's Noble Pants
45622,Assassin's Gladiator Legplates
15465,Carrion Krait Slayer
13924,Carrion Krait Wand
14469,Carrion Krait Short Bow
11121,Carrion Masquerade Boots
11876,Carrion Noble Boots
10702,Carrion Gladiator Boots
15394,Valkyrie Krait Shell
13895,Valkyrie Krait Crook
14517,Valkyrie Krait Whelk
11295,Valkyrie Masquerade Raiments
11798,Valkyrie Noble Coat
10722,Valkyrie Gladiator Chestplate
15508,Cleric's Krait Warhammer
13974,Cleric's Krait Star
14596,Cleric's Krait Handgun
11248,Cleric's Masquerade Gloves
11835,Cleric's Noble Gloves
10710,Cleric's Gladiator Gauntlets
36779,Apothecary's Krait Ripper
36813,Apothecary's Krait Crook
36750,Apothecary's Krait Recurve Bow
36892,Apothecary's Masquerade Mantle
36891,Apothecary's Noble Shoulders
36746,Apothecary's Gladiator Pauldrons
38336,Bringer's Krait Morning Star
38415,Bringer's Krait Wand
38367,Bringer's Krait Recurve Bow
38228,Giver's Masquerade Mask
38264,Giver's Noble Mask
38179,Giver's Gladiator Helm
15352,Valkyrie Krait Morning Star
14566,Valkyrie Krait Brazier
15427,Rampager's Krait Battleaxe
13928,Rampager's Krait Wand
14648,Rampager's Krait Shooter
11167,Rampager's Masquerade Leggings
11754,Rampager's Noble Pants
10699,Rampager's Gladiator Legplates
15391,Berserker's Krait Shell
13976,Berserker's Krait Star
14563,Berserker's Krait Brazier
11341,Berserker's Masquerade Mantle
11921,Berserker's Noble Shoulders
10691,Berserker's Gladiator Pauldrons
15423,Carrion Krait Battleaxe
13973,Carrion Krait Star
14428,Carrion Krait Recurve Bow
11247,Carrion Masquerade Gloves
11834,Carrion Noble Gloves
10709,Carrion Gladiator Gauntlets
15512,Knight's Krait Warhammer
13894,Knight's Krait Crook
14516,Knight's Krait Whelk
11126,Knight's Masquerade Boots
11881,Knight's Noble Boots
10707,Knight's Gladiator Boots
36780,Apothecary's Krait Wand
36812,Apothecary's Krait Shooter
36844,Apothecary's Masquerade Mask
36842,Apothecary's Noble Mask
36806,Apothecary's Gladiator Helm
